 ,en,fr,de
fallbacks_use,I can't use or move that there.,Je ne peux pas faire ça.,Ich kann das nicht benutzen oder dorthin bewegen.
fallbacks_pick_up,I can't pick this up.,Je ne peux pas ramasser ça.,Das kann ich nicht aufheben.
fallbacks_talk,This won't answer me!,Cela ne me répondra pas.,Das wird mir wahrscheinlich eher nicht antworten.
fallbacks_look,Nothing to have a closer look at here.,Il n'y a rien à regarder de plus près ici.,"Hier gibt es nichts, was man sich näher ansehen kann."
fallbacks_no_interaction,I can't interact with this.,Je ne peux pas interagir avec ça,Ich kann damit nicht interagieren.
fallbacks_no_action_chosen,Try again after choosing one of the actions.,Essayez de nouveau après avoir choisi l'une des actions.,Wähle zuerst eine Aktion aus und versuche es erneut.
general_flower_reward,Here is another flower.,Voici une autre fleur.,Hier ist noch eine Blume.
general_talk_to_kiara,Have you talked to Kiara yet?,As-tu déjà parlé à Kiara ?,Hast du schon mit Kiara gesprochen?
general_2,Placeholder,placeholder,Platzhalter
general_3,Placeholder,placeholder,Platzhalter
general_4,Placeholder,placeholder,Platzhalter
general_5,Placeholder,placeholder,Platzhalter
trailer_1,"Arthur Benoit, private investigator, who am I speaking to?","Arthur Benoit, détective privé, à qui ai-je l'honneur ?","Detektei Benoit, Arthur Benoit am Apparat, mit wem spreche ich?"
trailer_2,"Hello I am Jane Majorelle, wife of Louis Majorelle and mother of Jacques Majorelle. We are the spirits of the Villa Majorelle where we used to live. It is an “Art Nouveau” villa in Nancy and one of a kind. You will see, it is heavily inspired by nature.","Bonjour, je suis Jane Majorelle, épouse de Louis Majorelle et mère de Jacques Majorelle. Nous sommes les esprits de la Villa Majorelle où nous avons vécu autrefois.  C'est une villa ""Art Nouveau"" à Nancy, unique en son genre. Vous verrez, elle est fortement inspirée par la nature.","Hallo, ich bin Jane Majorelle, Ehefrau von Louis Majorelle und Mutter von Jacques Majorelle. Wir sind die Geister der Villa Majorelle, in der wir früher gewohnt haben. Sie ist eine ""Art Nouveau""-Villa in Nancy und absolut einmalig. Sie werden sehen, sie ist stark von der Natur inspiriert."
